Polling Place ID,POLL_NAME,ADDRESS,CITY,STATE,ZIP,PRECINCT
59,DURANGO HIGH SCHOOL,7100 W DEWEY DR,LAS VEGAS,NV,89113,1616
59,DURANGO HIGH SCHOOL,7100 W DEWEY DR,LAS VEGAS,NV,89113,1617
402,DURANGO HILLS COMMUNITY CENTER/YMCA,3521 N DURANGO DR,LAS VEGAS,NV,89129,3217
402,DURANGO HILLS COMMUNITY CENTER/YMCA,3521 N DURANGO DR,LAS VEGAS,NV,89129,3769
402,DURANGO HILLS COMMUNITY CENTER/YMCA,3521 N DURANGO DR,LAS VEGAS,NV,89129,3780
60,"EARL, IRA ELEMENTARY",1463 MARION DR,LAS VEGAS,NV,89110,4381
60,"EARL, IRA ELEMENTARY",1463 MARION DR,LAS VEGAS,NV,89110,4532
60,"EARL, IRA ELEMENTARY",1463 MARION DR,LAS VEGAS,NV,89110,4535
63,"EISENBERG, DOROTHY ELEMENTARY",7770 W DELHI AVE,LAS VEGAS,NV,89129,3430
63,"EISENBERG, DOROTHY ELEMENTARY",7770 W DELHI AVE,LAS VEGAS,NV,89129,3431
63,"EISENBERG, DOROTHY ELEMENTARY",7770 W DELHI AVE,LAS VEGAS,NV,89129,3731
63,"EISENBERG, DOROTHY ELEMENTARY",7770 W DELHI AVE,LAS VEGAS,NV,89129,3732
295,"ELIZONDO, RAUL ELEMENTARY",4865 GOLDFIELD ST,NORTH LAS VEGAS,NV,89031,4504
295,"ELIZONDO, RAUL ELEMENTARY",4865 GOLDFIELD ST,NORTH LAS VEGAS,NV,89031,4505
295,"ELIZONDO, RAUL ELEMENTARY",4865 GOLDFIELD ST,NORTH LAS VEGAS,NV,89031,4506
295,"ELIZONDO, RAUL ELEMENTARY",4865 GOLDFIELD ST,NORTH LAS VEGAS,NV,89031,4512
68,ENTERPRISE LIBRARY,25 E SHELBOURNE AVE,LAS VEGAS,NV,89123,1331
68,ENTERPRISE LIBRARY,25 E SHELBOURNE AVE,LAS VEGAS,NV,89123,1336
464,"ESCOBEDO, EDMUNDO SR MIDDLE SCH",9501 ECHELON POINT DR,LAS VEGAS,NV,89149,3546
464,"ESCOBEDO, EDMUNDO SR MIDDLE SCH",9501 ECHELON POINT DR,LAS VEGAS,NV,89149,3547
464,"ESCOBEDO, EDMUNDO SR MIDDLE SCH",9501 ECHELON POINT DR,LAS VEGAS,NV,89149,3564
464,"ESCOBEDO, EDMUNDO SR MIDDLE SCH",9501 ECHELON POINT DR,LAS VEGAS,NV,89149,3602
71,"FERRON, WILLIAM ELEMENTARY",4200 MOUNTAIN VISTA ST,LAS VEGAS,NV,89121,5622
71,"FERRON, WILLIAM ELEMENTARY",4200 MOUNTAIN VISTA ST,LAS VEGAS,NV,89121,5623
